run	id
ptyr121	AID5272-fq1
ptyr121	AID6058-fq1
ptyr122	AID0851-fq1
ptyr122	AID2874-fq1
ptyr122	AID2281-fq1
ptyr122	AID2044-fq1
ptyr122	AID3909-fq1
ptyr122	AID3909-fq2
ptyr122	AID7031-fq1
ptyr122	AID7031-fq2
ptyr122	AID8998-fq1
ptyr122	AID9019-fq1
ptyr123	AID6470-fq1
ptyr123	AID6470-fq2
ptyr123	AID6783-fq1
ptyr123	AID7038-fq1
ptyr123	AID8014-fq1
ptyr123	AID7076-fq3
ptyr123	AID0357-fq1
ptyr123	AID7720-fq1
ptyr123	AID7076-fq1
ptyr123	AID5050-fq1
ptyr124	AID1708-fq1
ptyr124	AID1892-fq1
ptyr124	AID7900-fq1
ptyr124	AID3671-fq1
ptyr124	AID6689-fq1
ptyr124	AID1686-fq1
ptyr124	AID0122-fq1
ptyr124	AID4790-fq1
ptyr125	AID1570-fq1
ptyr125	AID1570-fq2
ptyr125	AID4265-fq1
ptyr125	AID4265-fq2
ptyr125	AID9071-fq1
ptyr125	AID6886-fq1
ptyr125	AID5884-fq1
ptyr125	AID5111-fq1
ptyr125	AID6090-fq1
ptyr125	AID5105-fq1
ptyr126	AID3341-fq1
ptyr126	AID3341-fq2
ptyr126	AID5840-fq1
ptyr126	AID8885-fq1
ptyr126	AID8771-fq1
ptyr126	AID8147-fq1
ptyr126	AID7252-fq1
ptyr126	AID8543-fq1
ptyr127	AID2150-fq1
ptyr127	AID5840-fq1
ptyr127	AID3506-fq1
ptyr127	AID3548-fq1
ptyr127	AID2781-fq1
ptyr127	AID7960-fq1
ptyr127	AID7305-fq1
ptyr127	AID7373-fq1
ptyr128	AID0801-fq1
ptyr128	AID2286-fq1
ptyr128	AID4724-fq1
ptyr128	AID4927-fq1
ptyr128	AID2776-fq1
ptyr128	AID3184-fq1
ptyr128	AID5658-fq1
ptyr128	AID3433-fq1
ptyr128	AID3433-fq2
ptyr129	AID1630-fq1
ptyr129	AID2154-fq1
ptyr129	AID3587-fq1
ptyr129	AID3207-fq1
ptyr129	AID7286-fq1
ptyr129	AID4856-fq1
ptyr129	AID7125-fq1
ptyr129	AID0938-fq1
ptyr12	AID0305-fq1
ptyr12	AID0305-fq2
ptyr12	AID2320-fq1
ptyr12	AID0528-fq1
ptyr12	AID6632-fq1
ptyr12	AID2211-fq1
ptyr12	AID2002-fq1
ptyr12	AID5724-fq1
ptyr12	AID7197-fq1
ptyr130	AID4602-fq1
ptyr130	AID5537-fq1
ptyr130	AID6027-fq1
ptyr130	AID6988-fq1
ptyr130	AID5202-fq1
ptyr130	AID3820-fq1
ptyr130	AID0008-fq1
ptyr130	AID3451-fq1
ptyr131	AID0491-fq1
ptyr131	AID8054-fq1
ptyr131	AID1721-fq1
ptyr131	AID1721-fq2
ptyr131	AID2418-fq1
ptyr131	AID3586-fq1
ptyr131	AID2665-fq1
ptyr131	AID2665-fq2
ptyr131	AID2665-fq3
ptyr131	AID3015-fq1
ptyr131	AID6874-fq1
ptyr132	AID0561-fq1
ptyr132	AID7651-fq1
ptyr132	AID7689-fq1
ptyr132	AID3369-fq1
ptyr132	AID4886-fq1
ptyr132	AID4995-fq1
ptyr132	AID1288-fq1
ptyr133	AID1009-fq1
ptyr133	AID6975-fq1
ptyr133	AID8752-fq1
ptyr133	AID4850-fq1
ptyr133	AID6234-fq1
ptyr133	AID5123-fq1
ptyr133	AID4526-fq1
ptyr134	AID1598-fq1
ptyr134	AID4090-fq1
ptyr134	AID5867-fq1
ptyr134	AID5867-fq2
ptyr134	AID2899-fq1
ptyr134	AID3712-fq1
ptyr134	AID8401-fq1
ptyr134	AID4886-fq1
ptyr134	AID5568-fq1
ptyr135	AID1453-fq1
ptyr135	AID2373-fq1
ptyr135	AID3402-fq1
ptyr135	AID5676-fq1
ptyr135	AID5086-fq1
ptyr135	AID5311-fq1
ptyr135	AID2373-fq2
ptyr135	AID1833-fq1
ptyr136	AID1549-fq1
ptyr136	AID1549-fq2
ptyr136	AID3511-fq2
ptyr136	AID6557-fq1
ptyr136	AID7911-fq1
ptyr136	AID3020-fq1
ptyr136	AID4228-fq1
ptyr136	AID1218-fq1
ptyr136	AID7436-fq1
ptyr137	AID8089-fq1
ptyr137	AID8215-fq1
ptyr137	AID8505-fq1
ptyr137	AID0177-fq1
ptyr137	AID3748-fq1
ptyr137	AID1244-fq1
ptyr137	AID4433-fq1
ptyr137	AID8723-fq1
ptyr138	AID1577-fq1
ptyr138	AID2301-fq1
ptyr138	AID6252-fq1
ptyr138	AID7617-fq1
ptyr138	AID8997-fq1
ptyr138	AID9006-fq1
ptyr138	AID7484-fq1
ptyr138	AID8753-fq1
ptyr139	AID2263-fq1
ptyr139	AID8062-fq1
ptyr139	AID7337-fq1
ptyr139	AID8587-fq1
ptyr139	AID5639-fq1
ptyr139	AID5952-fq1
ptyr139	AID5199-fq1
ptyr13	AID1817-fq1
ptyr13	AID3285-fq1
ptyr13	AID2152-fq1
ptyr13	AID2605-fq2
ptyr13	AID2993-fq1
ptyr13	AID7511-fq1
ptyr13	AID4522-fq1
ptyr13	AID4639-fq1
ptyr13	AID2605-fq1
ptyr140	AID1342-fq1
ptyr140	AID3930-fq1
ptyr140	AID3287-fq1
ptyr140	AID6691-fq1
ptyr140	AID8063-fq1
ptyr140	AID6691-fq2
ptyr140	AID6428-fq1
ptyr140	AID3134-fq1
ptyr141	AID2276-fq1
ptyr141	AID3988-fq1
ptyr141	AID7250-fq1
ptyr141	AID4377-fq1
ptyr141	AID4377-fq2
ptyr141	AID5763-fq1
ptyr141	AID5763-fq2
ptyr141	AID4248-fq1
ptyr141	AID2005-fq1
ptyr141	AID3075-fq1
ptyr142	AID3856-fq1
ptyr142	AID3856-fq2
ptyr142	AID5508-fq1
ptyr142	AID5508-fq2
ptyr142	AID4140-fq1
ptyr142	AID5188-fq1
ptyr142	AID8216-fq1
ptyr142	AID2161-fq1
ptyr142	AID3824-fq1
ptyr142	AID3328-fq1
ptyr143	AID0784-fq1
ptyr143	AID3037-fq1
ptyr143	AID4045-fq1
ptyr143	AID4045-fq2
ptyr143	AID2117-fq1
ptyr143	AID3193-fq1
ptyr143	AID3037-fq2
ptyr143	AID3430-fq1
ptyr143	AID2054-fq1
ptyr143	AID8988-fq1
ptyr144	AID0244-fq1
ptyr144	AID1382-fq1
ptyr144	AID4045-fq1
ptyr144	AID4045-fq2
ptyr144	AID7409-fq1
ptyr144	AID1733-fq1
ptyr144	AID7409-fq2
ptyr144	AID4819-fq1
ptyr144	AID2981-fq1
ptyr145	AID0302-fq1
ptyr145	AID2092-fq1
ptyr145	AID6787-fq1
ptyr145	AID6787-fq2
ptyr145	AID6787-fq3
ptyr145	AID3837-fq1
ptyr145	AID8033-fq1
ptyr145	AID8015-fq1
ptyr145	AID4207-fq1
ptyr145	AID0147-fq1
ptyr146	AID0505-fq1
ptyr146	AID1206-fq1
ptyr146	AID5621-fq1
ptyr146	AID7557-fq1
ptyr146	AID6264-fq1
ptyr146	AID6264-fq2
ptyr146	AID1428-fq2
ptyr146	AID6208-fq1
ptyr146	AID7307-fq1
ptyr146	AID6208-fq2
ptyr146	AID1428-fq1
ptyr147	AID0439-fq1
ptyr147	AID1580-fq1
ptyr147	AID3035-fq2
ptyr147	AID6172-fq1
ptyr147	AID6172-fq2
ptyr147	AID6172-fq3
ptyr147	AID6172-fq4
ptyr147	AID8721-fq1
ptyr147	AID8869-fq1
ptyr147	AID8869-fq2
ptyr147	AID5913-fq1
ptyr147	AID5913-fq2
ptyr147	AID3035-fq1
ptyr147	AID0708-fq1
ptyr148	AID1739-fq1
ptyr148	AID4683-fq1
ptyr148	AID1681-fq2
ptyr148	AID6425-fq1
ptyr148	AID6867-fq1
ptyr148	AID3213-fq1
ptyr148	AID1681-fq1
ptyr148	AID5737-fq1
ptyr148	AID0711-fq1
ptyr149	AID0497-fq1
ptyr149	AID1650-fq1
ptyr149	AID8682-fq1
ptyr149	AID8682-fq2
ptyr149	AID8140-fq1
ptyr149	AID8327-fq1
ptyr149	AID3264-fq1
ptyr149	AID0669-fq1
ptyr14	AID0442-fq1
ptyr14	AID3860-fq1
ptyr14	AID3357-fq1
ptyr14	AID7143-fq1
ptyr14	AID1685-fq1
ptyr14	AID4484-fq1
ptyr14	AID2944-fq1
ptyr14	AID3797-fq1
ptyr150	AID0635-fq1
ptyr150	AID3893-fq2
ptyr150	AID4896-fq1
ptyr150	AID6784-fq1
ptyr150	AID4152-fq1
ptyr150	AID1424-fq1
ptyr150	AID1424-fq2
ptyr150	AID4770-fq1
ptyr150	AID1563-fq1
ptyr150	AID3893-fq1
ptyr151	AID2046-fq1
ptyr151	AID7944-fq1
ptyr151	AID8349-fq2
ptyr151	AID4343-fq1
ptyr151	AID4343-fq2
ptyr151	AID2426-fq1
ptyr151	AID5711-fq1
ptyr151	AID8349-fq1
ptyr151	AID0136-fq1
ptyr151	AID6158-fq1
ptyr152	AID0131-fq1
ptyr152	AID5073-fq1
ptyr152	AID2760-fq1
ptyr152	AID2493-fq1
ptyr152	AID5073-fq2
ptyr152	AID3070-fq1
ptyr152	AID1574-fq1
ptyr153	AID0269-fq2
ptyr153	AID4950-fq1
ptyr153	AID6953-fq3
ptyr153	AID0800-fq1
ptyr153	AID0800-fq2
ptyr153	AID1465-fq1
ptyr153	AID6953-fq1
ptyr153	AID6953-fq2
ptyr153	AID8283-fq1
ptyr153	AID8283-fq2
ptyr153	AID0269-fq1
ptyr154	AID0025-fq1
ptyr154	AID0025-fq3
ptyr154	AID0025-fq2
ptyr154	AID3044-fq2
ptyr154	AID8187-fq1
