"labels","vals"
"ext_ext_fit_logit_prob_seq_baseline_lower","1.94"
"ext_ext_fit_logit_prob_seq_baseline_upper","2.06"
"ext_ext_fit_logit_prob_seq_baseline_bulk_ess","3784.46"
"ext_ext_fit_logit_prob_seq_baseline_tail_ess","4886.22"
"ext_ext_fit_logit_prob_seq_baseline_rhat","1"
"ext_ext_logit_prob_seq_coeffs1","2"
"ext_ext_fit_logit_prob_seq_coeffs1_median","1.99"
"ext_ext_fit_logit_prob_seq_coeffs1_lower","1.92"
"ext_ext_fit_logit_prob_seq_coeffs1_upper","2.07"
"ext_ext_fit_logit_prob_seq_coeffs1_bulk_ess","3750.25"
"ext_ext_fit_logit_prob_seq_coeffs1_tail_ess","5171.55"
"ext_ext_fit_logit_prob_seq_coeffs1_rhat","1"
"ext_ext_logit_prob_seq_ind_sd","1"
"ext_ext_fit_logit_prob_seq_ind_sd_median","0.99"
"ext_ext_fit_logit_prob_seq_ind_sd_lower","0.94"
"ext_ext_fit_logit_prob_seq_ind_sd_upper","1.04"
"ext_ext_fit_logit_prob_seq_ind_sd_bulk_ess","3573.54"
"ext_ext_fit_logit_prob_seq_ind_sd_tail_ess","5351.02"
"ext_ext_fit_logit_prob_seq_ind_sd_rhat","1"
"ext_ext_logit_prob_mi_baseline","-2.94"
"ext_ext_fit_logit_prob_mi_baseline_median","-2.58"
"ext_ext_fit_logit_prob_mi_baseline_lower","-2.78"
"ext_ext_fit_logit_prob_mi_baseline_upper","-2.4"
"ext_ext_fit_logit_prob_mi_baseline_bulk_ess","16389.12"
"ext_ext_fit_logit_prob_mi_baseline_tail_ess","5740.45"
"ext_ext_fit_logit_prob_mi_baseline_rhat","1"
"ext_ext_logit_prob_mi_fpr","-4.6"
"ext_ext_fit_logit_prob_mi_fpr_median","-4.55"
"ext_ext_fit_logit_prob_mi_fpr_lower","-4.65"
"ext_ext_fit_logit_prob_mi_fpr_upper","-4.45"
"ext_ext_fit_logit_prob_mi_fpr_bulk_ess","17169.21"
"ext_ext_fit_logit_prob_mi_fpr_tail_ess","5811.62"
"ext_ext_fit_logit_prob_mi_fpr_rhat","1"
"ext_ext_logit_prob_mi_fnr","-0.85"
"ext_ext_fit_logit_prob_mi_fnr_median","-0.71"
"ext_ext_fit_logit_prob_mi_fnr_lower","-0.81"
"ext_ext_fit_logit_prob_mi_fnr_upper","-0.62"
"ext_ext_fit_logit_prob_mi_fnr_bulk_ess","14242.21"
"ext_ext_fit_logit_prob_mi_fnr_tail_ess","6745.22"
"ext_ext_fit_logit_prob_mi_fnr_rhat","1"
"ext_ext_logit_prob_mi_coeffs1","-0.37"
"ext_ext_fit_logit_prob_mi_coeffs1_median","-0.3"
"ext_ext_fit_logit_prob_mi_coeffs1_lower","-0.5"
"ext_ext_fit_logit_prob_mi_coeffs1_upper","-0.08"
"ext_ext_fit_logit_prob_mi_coeffs1_bulk_ess","5519.65"
"ext_ext_fit_logit_prob_mi_coeffs1_tail_ess","4109.57"
"ext_ext_fit_logit_prob_mi_coeffs1_rhat","1"
"ext_ext_logit_prob_mi_coeffs2","0.37"
"ext_ext_fit_logit_prob_mi_coeffs2_median","0.3"
"ext_ext_fit_logit_prob_mi_coeffs2_lower","0.08"
"ext_ext_fit_logit_prob_mi_coeffs2_upper","0.5"
"ext_ext_fit_logit_prob_mi_coeffs2_bulk_ess","5519.65"
"ext_ext_fit_logit_prob_mi_coeffs2_tail_ess","4109.57"
"ext_ext_fit_logit_prob_mi_coeffs2_rhat","1"
"ext_ext_logit_prob_mi_coeffs3","0"
"ext_ext_fit_logit_prob_mi_coeffs3_median","0"
"ext_ext_fit_logit_prob_mi_coeffs3_lower","-0.13"
"ext_ext_fit_logit_prob_mi_coeffs3_upper","0.13"
"ext_ext_fit_logit_prob_mi_coeffs3_bulk_ess","11511.06"
"ext_ext_fit_logit_prob_mi_coeffs3_tail_ess","7503.16"
"ext_ext_fit_logit_prob_mi_coeffs3_rhat","1"
"ext_ext_logit_prob_mi_coeffs4","0"
"ext_ext_fit_logit_prob_mi_coeffs4_median","0"
"ext_ext_fit_logit_prob_mi_coeffs4_lower","-0.13"
"ext_ext_fit_logit_prob_mi_coeffs4_upper","0.13"
"ext_ext_fit_logit_prob_mi_coeffs4_bulk_ess","11511.06"
"ext_ext_fit_logit_prob_mi_coeffs4_tail_ess","7503.16"
"ext_ext_fit_logit_prob_mi_coeffs4_rhat","1"
"ext_ext_logit_prob_mi_coeffs5","0"
"ext_ext_fit_logit_prob_mi_coeffs5_median","0.04"
"ext_ext_fit_logit_prob_mi_coeffs5_lower","-0.07"
"ext_ext_fit_logit_prob_mi_coeffs5_upper","0.22"
"ext_ext_fit_logit_prob_mi_coeffs5_bulk_ess","6693.88"
"ext_ext_fit_logit_prob_mi_coeffs5_tail_ess","7571.39"
"ext_ext_fit_logit_prob_mi_coeffs5_rhat","1"
"ext_ext_logit_prob_mi_coeffs6","0"
"ext_ext_fit_logit_prob_mi_coeffs6_median","-0.04"
"ext_ext_fit_logit_prob_mi_coeffs6_lower","-0.22"
"ext_ext_fit_logit_prob_mi_coeffs6_upper","0.07"
"ext_ext_fit_logit_prob_mi_coeffs6_bulk_ess","6693.88"
"ext_ext_fit_logit_prob_mi_coeffs6_tail_ess","7571.39"
"ext_ext_fit_logit_prob_mi_coeffs6_rhat","1"
"ext_ext_logit_prob_mi_coeffs7","0"
"ext_ext_fit_logit_prob_mi_coeffs7_median","0"
"ext_ext_fit_logit_prob_mi_coeffs7_lower","-0.12"
"ext_ext_fit_logit_prob_mi_coeffs7_upper","0.15"
"ext_ext_fit_logit_prob_mi_coeffs7_bulk_ess","10445.32"
"ext_ext_fit_logit_prob_mi_coeffs7_tail_ess","7667.23"
"ext_ext_fit_logit_prob_mi_coeffs7_rhat","1"
"ext_ext_logit_prob_mi_coeffs8","0"
"ext_ext_fit_logit_prob_mi_coeffs8_median","0"
"ext_ext_fit_logit_prob_mi_coeffs8_lower","-0.15"
"ext_ext_fit_logit_prob_mi_coeffs8_upper","0.12"
"ext_ext_fit_logit_prob_mi_coeffs8_bulk_ess","10445.32"
"ext_ext_fit_logit_prob_mi_coeffs8_tail_ess","7667.23"
"ext_ext_fit_logit_prob_mi_coeffs8_rhat","1"
"ext_ext_logit_prob_mi_coeffs9","0"
"ext_ext_fit_logit_prob_mi_coeffs9_median","0.02"
"ext_ext_fit_logit_prob_mi_coeffs9_lower","-0.09"
"ext_ext_fit_logit_prob_mi_coeffs9_upper","0.18"
"ext_ext_fit_logit_prob_mi_coeffs9_bulk_ess","8582.88"
"ext_ext_fit_logit_prob_mi_coeffs9_tail_ess","6751.94"
"ext_ext_fit_logit_prob_mi_coeffs9_rhat","1"
"ext_ext_logit_prob_mi_coeffs10","0"
"ext_ext_fit_logit_prob_mi_coeffs10_median","-0.02"
"ext_ext_fit_logit_prob_mi_coeffs10_lower","-0.18"
"ext_ext_fit_logit_prob_mi_coeffs10_upper","0.09"
"ext_ext_fit_logit_prob_mi_coeffs10_bulk_ess","8582.88"
"ext_ext_fit_logit_prob_mi_coeffs10_tail_ess","6751.94"
"ext_ext_fit_logit_prob_mi_coeffs10_rhat","1"
"ext_ext_fit_mi_tau_median","0.19"
"ext_ext_fit_mi_tau_lower","0.01"
"ext_ext_fit_mi_tau_upper","0.66"
"ext_ext_fit_mi_tau_bulk_ess","5111.71"
"ext_ext_fit_mi_tau_tail_ess","6146.7"
"ext_ext_fit_mi_tau_rhat","1"
"ext_ext_fit_mi_lambda1_median","1.25"
"ext_ext_fit_mi_lambda1_lower","0.07"
"ext_ext_fit_mi_lambda1_upper","5.62"
"ext_ext_fit_mi_lambda1_bulk_ess","8314.94"
"ext_ext_fit_mi_lambda1_tail_ess","5487.89"
"ext_ext_fit_mi_lambda1_rhat","1"
"ext_ext_fit_mi_lambda2_median","1.23"
"ext_ext_fit_mi_lambda2_lower","0.01"
"ext_ext_fit_mi_lambda2_upper","5.38"
"ext_ext_fit_mi_lambda2_bulk_ess","8087.34"
"ext_ext_fit_mi_lambda2_tail_ess","5282.98"
"ext_ext_fit_mi_lambda2_rhat","1"
"ext_ext_fit_mi_lambda3_median","0.56"
"ext_ext_fit_mi_lambda3_lower","0"
"ext_ext_fit_mi_lambda3_upper","3.51"
"ext_ext_fit_mi_lambda3_bulk_ess","5763.65"
"ext_ext_fit_mi_lambda3_tail_ess","5413.37"
"ext_ext_fit_mi_lambda3_rhat","1"
"ext_ext_fit_mi_lambda4_median","0.58"
"ext_ext_fit_mi_lambda4_lower","0"
"ext_ext_fit_mi_lambda4_upper","3.56"
"ext_ext_fit_mi_lambda4_bulk_ess","5370.32"
"ext_ext_fit_mi_lambda4_tail_ess","5181.05"
"ext_ext_fit_mi_lambda4_rhat","1"
"ext_ext_fit_mi_lambda5_median","0.62"
"ext_ext_fit_mi_lambda5_lower","0"
"ext_ext_fit_mi_lambda5_upper","3.61"
"ext_ext_fit_mi_lambda5_bulk_ess","5452.98"
"ext_ext_fit_mi_lambda5_tail_ess","4732.13"
"ext_ext_fit_mi_lambda5_rhat","1"
"ext_ext_fit_mi_lambda6_median","0.65"
"ext_ext_fit_mi_lambda6_lower","0"
"ext_ext_fit_mi_lambda6_upper","3.53"
"ext_ext_fit_mi_lambda6_bulk_ess","6100.12"
"ext_ext_fit_mi_lambda6_tail_ess","5142.76"
"ext_ext_fit_mi_lambda6_rhat","1"
"ext_ext_fit_mi_lambda7_median","0.57"
"ext_ext_fit_mi_lambda7_lower","0"
"ext_ext_fit_mi_lambda7_upper","3.53"
"ext_ext_fit_mi_lambda7_bulk_ess","5431.44"
"ext_ext_fit_mi_lambda7_tail_ess","4572.09"
"ext_ext_fit_mi_lambda7_rhat","1"
"ext_ext_fit_mi_lambda8_median","0.55"
"ext_ext_fit_mi_lambda8_lower","0"
"ext_ext_fit_mi_lambda8_upper","3.52"
"ext_ext_fit_mi_lambda8_bulk_ess","5280.25"
"ext_ext_fit_mi_lambda8_tail_ess","5455.69"
"ext_ext_fit_mi_lambda8_rhat","1"
"ext_ext_fit_mi_lambda9_median","0.59"
"ext_ext_fit_mi_lambda9_lower","0"
"ext_ext_fit_mi_lambda9_upper","3.6"
"ext_ext_fit_mi_lambda9_bulk_ess","5438.08"
"ext_ext_fit_mi_lambda9_tail_ess","4913.18"
"ext_ext_fit_mi_lambda9_rhat","1"
"ext_ext_fit_mi_lambda10_median","0.58"
"ext_ext_fit_mi_lambda10_lower","0"
"ext_ext_fit_mi_lambda10_upper","3.48"
"ext_ext_fit_mi_lambda10_bulk_ess","5461.29"
"ext_ext_fit_mi_lambda10_tail_ess","4822.11"
"ext_ext_fit_mi_lambda10_rhat","1"
"ext_ext_fit_multivar_rr_mi_risk_factor_MI_1=='1':risk_factor_MI_1=='0'_median","1.76"
"ext_ext_fit_multivar_rr_mi_risk_factor_MI_1=='1':risk_factor_MI_1=='0'_lower","1.16"
"ext_ext_fit_multivar_rr_mi_risk_factor_MI_1=='1':risk_factor_MI_1=='0'_upper","2.53"
"ext_ext_fit_multivar_rr_mi_risk_factor_MI_1=='1':risk_factor_MI_1=='0'_bulk_ess","5541.99"
"ext_ext_fit_multivar_rr_mi_risk_factor_MI_1=='1':risk_factor_MI_1=='0'_tail_ess","4133.75"
"ext_ext_fit_multivar_rr_mi_risk_factor_MI_1=='1':risk_factor_MI_1=='0'_rhat","1"
"ext_ext_n_participant_visits","1,979"
"empirical_age_sex_comm_fit_logit_prob_mi_baseline_median_percent","-300.33"
"empirical_age_sex_comm_fit_logit_prob_mi_baseline_lower_percent","-330.66"
"empirical_age_sex_comm_fit_logit_prob_mi_baseline_upper_percent","-271.42"
"empirical_age_sex_comm_fit_logit_prob_mi_fpr_median_percent","-572.67"
"empirical_age_sex_comm_fit_logit_prob_mi_fpr_lower_percent","-594.9"
"empirical_age_sex_comm_fit_logit_prob_mi_fpr_upper_percent","-549.83"
"empirical_age_sex_comm_fit_logit_prob_mi_fnr_median_percent","30.78"
"empirical_age_sex_comm_fit_logit_prob_mi_fnr_lower_percent","13.1"
"empirical_age_sex_comm_fit_logit_prob_mi_fnr_upper_percent","48.9"
"empirical_age_sex_comm_fit_prob_mi_fpr_median_percent","0.32"
"empirical_age_sex_comm_fit_prob_mi_fpr_lower_percent","0.26"
"empirical_age_sex_comm_fit_prob_mi_fpr_upper_percent","0.4"
"empirical_age_sex_comm_fit_prob_mi_fnr_median_percent","57.63"
"empirical_age_sex_comm_fit_prob_mi_fnr_lower_percent","53.27"
"empirical_age_sex_comm_fit_prob_mi_fnr_upper_percent","61.99"
"empirical_age_sex_comm_fit_prob_mi_median_percent","5.86"
"empirical_age_sex_comm_fit_prob_mi_lower_percent","4.65"
"empirical_age_sex_comm_fit_prob_mi_upper_percent","7.21"
"empirical_age_sex_comm_fit_prob_mi_median_percent_int","6"
"empirical_age_sex_comm_fit_prob_mi_comm_type == 'fishing'_median_percent","7.39"
"empirical_age_sex_comm_fit_prob_mi_comm_type == 'fishing'_lower_percent","5.66"
"empirical_age_sex_comm_fit_prob_mi_comm_type == 'fishing'_upper_percent","9.29"
"empirical_age_sex_comm_fit_prob_mi_comm_type == 'inland'_median_percent","3.17"
"empirical_age_sex_comm_fit_prob_mi_comm_type == 'inland'_lower_percent","1.88"
"empirical_age_sex_comm_fit_prob_mi_comm_type == 'inland'_upper_percent","4.75"
"empirical_age_sex_comm_fit_logit_prob_seq_baseline_median","1.22"
"empirical_age_sex_comm_fit_logit_prob_seq_baseline_lower","1.14"
"empirical_age_sex_comm_fit_logit_prob_seq_baseline_upper","1.29"
"empirical_age_sex_comm_fit_logit_prob_seq_baseline_bulk_ess","856.49"
"empirical_age_sex_comm_fit_logit_prob_seq_baseline_tail_ess","1934.19"
"empirical_age_sex_comm_fit_logit_prob_seq_baseline_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs1_median","-1.2"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs1_lower","-1.28"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs1_upper","-1.12"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs1_bulk_ess","720.29"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs1_tail_ess","1379.62"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs1_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs2_median","1.2"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs2_lower","1.12"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs2_upper","1.28"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs2_bulk_ess","720.29"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs2_tail_ess","1379.62"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs2_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs3_median","1.19"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs3_lower","1.11"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs3_upper","1.27"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs3_bulk_ess","789.99"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs3_tail_ess","1734.07"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs3_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs4_median","-0.27"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs4_lower","-0.35"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs4_upper","-0.2"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs4_bulk_ess","897.24"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs4_tail_ess","1860.66"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs4_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs5_median","0.27"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs5_lower","0.2"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs5_upper","0.35"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs5_bulk_ess","897.24"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs5_tail_ess","1860.66"
"empirical_age_sex_comm_fit_logit_prob_seq_coeffs5_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_seq_ind_sd_median","1.52"
"empirical_age_sex_comm_fit_logit_prob_seq_ind_sd_lower","1.45"
"empirical_age_sex_comm_fit_logit_prob_seq_ind_sd_upper","1.59"
"empirical_age_sex_comm_fit_logit_prob_seq_ind_sd_bulk_ess","2670.09"
"empirical_age_sex_comm_fit_logit_prob_seq_ind_sd_tail_ess","4963.67"
"empirical_age_sex_comm_fit_logit_prob_seq_ind_sd_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_baseline_median","-3"
"empirical_age_sex_comm_fit_logit_prob_mi_baseline_lower","-3.31"
"empirical_age_sex_comm_fit_logit_prob_mi_baseline_upper","-2.71"
"empirical_age_sex_comm_fit_logit_prob_mi_baseline_bulk_ess","4053.65"
"empirical_age_sex_comm_fit_logit_prob_mi_baseline_tail_ess","5417.35"
"empirical_age_sex_comm_fit_logit_prob_mi_baseline_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_fpr_median","-5.73"
"empirical_age_sex_comm_fit_logit_prob_mi_fpr_lower","-5.95"
"empirical_age_sex_comm_fit_logit_prob_mi_fpr_upper","-5.5"
"empirical_age_sex_comm_fit_logit_prob_mi_fpr_bulk_ess","3430.6"
"empirical_age_sex_comm_fit_logit_prob_mi_fpr_tail_ess","4372.27"
"empirical_age_sex_comm_fit_logit_prob_mi_fpr_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_fnr_median","0.31"
"empirical_age_sex_comm_fit_logit_prob_mi_fnr_lower","0.13"
"empirical_age_sex_comm_fit_logit_prob_mi_fnr_upper","0.49"
"empirical_age_sex_comm_fit_logit_prob_mi_fnr_bulk_ess","3111.48"
"empirical_age_sex_comm_fit_logit_prob_mi_fnr_tail_ess","4673.84"
"empirical_age_sex_comm_fit_logit_prob_mi_fnr_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs1_median","-0.09"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs1_lower","-0.47"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs1_upper","0.29"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs1_bulk_ess","6144.1"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs1_tail_ess","6019.96"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs1_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs2_median","0"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs2_lower","-0.29"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs2_upper","0.31"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs2_bulk_ess","7933.38"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs2_tail_ess","5636.94"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs2_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs3_median","0.09"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs3_lower","-0.24"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs3_upper","0.43"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs3_bulk_ess","7392.71"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs3_tail_ess","6322.6"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs3_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs4_median","-0.12"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs4_lower","-0.34"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs4_upper","0.11"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs4_bulk_ess","6887.8"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs4_tail_ess","5660.36"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs4_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs5_median","0.12"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs5_lower","-0.11"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs5_upper","0.34"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs5_bulk_ess","6887.8"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs5_tail_ess","5660.36"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs5_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs6_median","0.44"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs6_lower","0.19"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs6_upper","0.72"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs6_bulk_ess","6051.03"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs6_tail_ess","5610.97"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs6_rhat","1"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs7_median","-0.44"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs7_lower","-0.72"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs7_upper","-0.19"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs7_bulk_ess","6051.03"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs7_tail_ess","5610.97"
"empirical_age_sex_comm_fit_logit_prob_mi_coeffs7_rhat","1"
"empirical_age_sex_comm_fit_pr_mi_comm_type == 'fishing':comm_type=='inland'_median","2.33"
"empirical_age_sex_comm_fit_pr_mi_comm_type == 'fishing':comm_type=='inland'_lower","1.3"
"empirical_age_sex_comm_fit_pr_mi_comm_type == 'fishing':comm_type=='inland'_upper","3.7"
"empirical_age_sex_comm_fit_pr_mi_comm_type == 'fishing':comm_type=='inland'_bulk_ess","5961.47"
"empirical_age_sex_comm_fit_pr_mi_comm_type == 'fishing':comm_type=='inland'_tail_ess","5713.92"
"empirical_age_sex_comm_fit_pr_mi_comm_type == 'fishing':comm_type=='inland'_rhat","1"
"empirical_age_sex_comm_n_participant_visits","2,029"
"empirical_age_sex_comm_fit_wprob_mi_median_percent","4.09"
"empirical_age_sex_comm_fit_wprob_mi_lower_percent","2.95"
"empirical_age_sex_comm_fit_wprob_mi_upper_percent","5.45"
"empirical_age_sex_comm_fit_wprob_mi_median_percent_int","4"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'fishing'_median_percent","7.42"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'fishing'_lower_percent","5.62"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'fishing'_upper_percent","9.31"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'fishing'_median_percent_int","7"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'inland'_median_percent","3.14"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'inland'_lower_percent","1.8"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'inland'_upper_percent","4.74"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'inland'_median_percent_int","3"
"empirical_age_sex_comm_fit_wprob_mi_median_percent","4.09"
"empirical_age_sex_comm_fit_wprob_mi_lower_percent","2.95"
"empirical_age_sex_comm_fit_wprob_mi_upper_percent","5.45"
"empirical_age_sex_comm_fit_wprob_mi_median_percent_int","4"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'fishing'_median_percent","7.42"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'fishing'_lower_percent","5.62"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'fishing'_upper_percent","9.31"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'fishing'_median_percent_int","7"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'inland'_median_percent","3.14"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'inland'_lower_percent","1.8"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'inland'_upper_percent","4.74"
"empirical_age_sex_comm_fit_wprob_mi_comm_type == 'inland'_median_percent_int","3"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_median","2.36"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_lower","1.3"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_upper","3.76"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_bulk_ess","5725.56"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_tail_ess","5440.48"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_rhat","1"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_median","2.36"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_lower","1.3"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_upper","3.76"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_bulk_ess","5725.56"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_tail_ess","5440.48"
"empirical_age_sex_comm_fit_wpr_mi_comm_type == 'fishing':comm_type=='inland'_rhat","1"
"empirical_age_sex_comm_alt_fit_logit_prob_mi_baseline_median_percent","-290.54"
"empirical_age_sex_comm_alt_fit_logit_prob_mi_baseline_lower_percent","-318.79"
"empirical_age_sex_comm_alt_fit_logit_prob_mi_baseline_upper_percent","-264.28"
"empirical_age_sex_comm_alt_fit_logit_prob_mi_fpr_median_percent","-585.85"
"empirical_age_sex_comm_alt_fit_logit_prob_mi_fpr_lower_percent","-610.72"
"empirical_age_sex_comm_alt_fit_logit_prob_mi_fpr_upper_percent","-561.49"
"empirical_age_sex_comm_alt_fit_logit_prob_mi_fnr_median_percent","48.6"
"empirical_age_sex_comm_alt_fit_logit_prob_mi_fnr_lower_percent","32.51"
"empirical_age_sex_comm_alt_fit_logit_prob_mi_fnr_upper_percent","64.22"
"empirical_age_sex_comm_alt_fit_prob_mi_fpr_median_percent","0.28"
"empirical_age_sex_comm_alt_fit_prob_mi_fpr_lower_percent","0.22"
"empirical_age_sex_comm_alt_fit_prob_mi_fpr_upper_percent","0.36"
"empirical_age_sex_comm_alt_fit_prob_mi_fnr_median_percent","61.92"
"empirical_age_sex_comm_alt_fit_prob_mi_fnr_lower_percent","58.06"
"empirical_age_sex_comm_alt_fit_prob_mi_fnr_upper_percent","65.53"
"empirical_age_sex_comm_alt_fit_prob_mi_median_percent","6.09"
"empirical_age_sex_comm_alt_fit_prob_mi_lower_percent","4.88"
"empirical_age_sex_comm_alt_fit_prob_mi_upper_percent","7.55"
"empirical_age_sex_comm_alt_fit_prob_mi_median_percent_int","6"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_baseline_median","1.2"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_baseline_lower","1.12"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_baseline_upper","1.28"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_baseline_bulk_ess","664.44"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_baseline_tail_ess","1417.75"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_baseline_rhat","1"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_coeffs1_median","-1.25"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_coeffs1_lower","-1.33"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_coeffs1_upper","-1.17"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_coeffs1_bulk_ess","658.4"
"empirical_age_sex_comm_alt_fit_logit_prob_seq_coeffs1_tail_ess","1466.37"
