name	median	lower	upper	bulk_ess	tail_ess	rhat	idx	id
.chain	2.5	1	4	1.1851332465570588	NA	2.6902480856971587	NA	NA
.draw	4000.5	1	7601	1.295407547784653	10.495376863060802	2.1227547959479254	NA	NA
.iteration	1000.5	1	1901	19.79978098944606	82.24966827035763	0.9998749921865233	NA	NA
ind_log_prob_mi[1000]	-26.11835	-30.9057	-19.4591	11979.633497159884	5042.73887290904	1.0001487686092212	1000	1000
ind_log_prob_mi[1001]	-17.0188	-28.5258	-7.44096	12099.396256192664	4698.673472205987	1.000409664812756	1001	1001
ind_log_prob_mi[1002]	-34.4195	-39.8044	-26.5031	11278.823150536304	6082.509033317854	0.9999126563613923	1002	1002
ind_log_prob_mi[1003]	-18.091250000000002	-26.9468	-8.9286	10838.898725802814	4905.822690235249	1.0001035936490865	1003	1003
ind_log_prob_mi[1004]	-20.396949999999997	-31.5595	-9.86175	12115.87185737567	5654.930348314791	1.000226516814461	1004	1004
ind_log_prob_mi[1005]	-34.75625	-40.0731	-26.8477	13259.869584623668	5540.419233482351	1.0001513904665977	1005	1005
ind_log_prob_mi[1006]	-18.398449999999997	-30.0734	-7.83223	11187.655470752408	5456.669635334924	0.9999091833767242	1006	1006
ind_log_prob_mi[1007]	-27.72765	-31.5213	-22.3041	10127.772476330467	6044.420857853614	1.0004230593148153	1007	1007
ind_log_prob_mi[1008]	-5.46336	-10.8399	-1.39243	12486.737899331525	5438.8409228496475	1.0002968389316242	1008	1008
ind_log_prob_mi[1009]	-3.7051850000000003e-6	-2.31601e-4	-2.35077e-8	11415.700050637999	4771.992066510074	0.9998880161888652	1009	1009
ind_log_prob_mi[100]	-34.254450000000006	-37.3235	-30.1623	10004.306033754403	6062.712712078643	0.999944108413744	100	100
ind_log_prob_mi[1010]	-25.785899999999998	-30.582	-18.9883	8930.451910312324	5075.259387582193	1.0000895255172535	1010	1010
ind_log_prob_mi[1011]	-24.210749999999997	-31.4368	-14.8168	10510.555606399264	5628.93872213404	1.0000521273312517	1011	1011
ind_log_prob_mi[1012]	-29.4039	-32.2769	-26.3206	9343.50060079462	5483.440766752493	1.0001840081009246	1012	1012
ind_log_prob_mi[1013]	-20.46	-31.4507	-9.22089	11133.70891558855	5471.595520154754	1.0002207345393934	1013	1013
ind_log_prob_mi[1014]	-34.512299999999996	-37.6179	-31.0432	9251.3381278968809	6079.536890590457	0.9998894538519508	1014	1014
ind_log_prob_mi[1015]	-35.21815	-37.8695	-32.6748	8732.007964681106	6092.467713269014	1.0000206897474617	1015	1015
ind_log_prob_mi[1016]	-16.348300000000002	-28.031	-6.9235	12287.09520183836	5054.584789169678	0.9998965989059725	1016	1016
ind_log_prob_mi[1017]	-32.366299999999995	-38.9046	-23.7464	12361.906724556131	5341.862003383344	1.0002190230022812	1017	1017
ind_log_prob_mi[1018]	-11.49495	-20.797	-3.14126	10174.05402397669	5408.56915538142	1.000027366054338	1018	1018
ind_log_prob_mi[1019]	-33.15375	-37.3177	-28.1432	10892.39647840574	5967.503073974774	0.9999478175590399	1019	1019
ind_log_prob_mi[101]	-28.7635	-31.9679	-24.6171	8635.928837775915	5755.324677190962	1.0001011248530824	101	101
ind_log_prob_mi[1020]	-9.554815	-17.8447	-1.87056	13885.747771434597	5105.8647491171705	0.9999239744864821	1020	1020
ind_log_prob_mi[1021]	-6.384215	-12.0809	-1.66928	12970.437952289301	5917.6826276213815	0.9999696716487778	1021	1021
ind_log_prob_mi[1022]	-23.9403	-36.2882	-12.2036	9634.08904713989	5004.9762709790475	1.0001388141498444	1022	1022
ind_log_prob_mi[1023]	-23.836550000000003	-33.259	-12.6878	12463.400756911375	5583.199317560451	0.9999160947232597	1023	1023
ind_log_prob_mi[1024]	-25.2226	-36.573	-12.8105	11401.986374006057	5281.740701549356	1.0000039176375752	1024	1024
ind_log_prob_mi[1025]	-30.80925	-36.0266	-23.1529	9911.413081806322	5649.666080820176	0.9998874053680454	1025	1025
ind_log_prob_mi[1026]	-22.282	-33.621	-10.9035	12044.36866274996	5826.7567795805835	1.0000875578982946	1026	1026
ind_log_prob_mi[1027]	-14.01485	-25.2943	-4.41271	9922.386679583242	5730.203183593227	1.000394889201984	1027	1027
ind_log_prob_mi[1028]	-34.9045	-37.709	-31.9233	9428.857288489815	6016.192914113683	1.0000229306050004	1028	1028
ind_log_prob_mi[1029]	-18.0708	-29.9654	-6.91557	11116.1853810886	4942.953044555571	1.0003397069709659	1029	1029
ind_log_prob_mi[102]	-4.624145	-10.1755	-0.176028	9837.198453962315	5021.18626312063	0.9999503662246741	102	102
ind_log_prob_mi[1030]	0	-1.77636e-15	8.88178e-16	6070.9321638015535	4945.052966708539	0.9999181693827486	1030	1030
ind_log_prob_mi[1031]	-15.14265	-25.8706	-4.64604	9696.475167662213	4799.751109027835	1.0002595980664393	1031	1031
ind_log_prob_mi[1032]	-14.0292	-24.42	-4.33154	9960.184221763006	5362.182163594994	0.9999959554439277	1032	1032
ind_log_prob_mi[1033]	-15.82885	-26.4716	-6.28322	12990.831386008624	5500.551655452781	1.0000011314291593	1033	1033
ind_log_prob_mi[1034]	-7.8983550000000005	-15.489	-1.66497	12159.758856051525	5153.108133933874	0.9999035575205146	1034	1034
ind_log_prob_mi[1035]	-3.329045	-4.56457	-2.85177	9897.376560448982	6292.259096497865	1.0003849903003657	1035	1035
ind_log_prob_mi[1036]	-33.7737	-39.7222	-25.9516	10871.179590029025	5874.700645364016	1.000173117382724	1036	1036
